year,AUDI,B.M.W.,CHEVROLET,FORD,HYUNDAI,KIA,MAZDA,MERCEDES BENZ,MITSUBISHI,NISSAN,PORSCHE,PROTON,SUBARU,SUZUKI,TOYOTA,VOLKSWAGEN,VOLVO
2005,2025,15351,3699,7243,41650,12079,19998,27230,29416,65368,763,4612,6351,7200,120560,2923,5366
2006,2386,16527,6251,6036,45393,15558,21161,25150,31264,64904,912,4630,7600,8201,135799,2900,5416
2007,3115,18321,8161,4878,44798,16591,22495,24999,34542,64507,1242,4642,9949,11263,146597,3475,5759
2008,4223,20434,8951,4045,41708,16927,22647,25896,36805,61701,1554,4486,12446,13641,154948,4474,5899
2009,5590,22871,9973,3788,43907,19899,22334,27621,36846,59590,1822,4462,13463,14592,161074,6780,6165
2010,7645,26411,10653,3762,44031,22285,22527,30467,36412,58442,2250,4467,13929,14863,162125,10123,6607
2011,9641,30496,11202,3716,44177,22987,21990,33057,35558,56380,2784,4281,13882,14778,159749,13223,7148
2012,11227,34817,11516,3831,43953,23247,21715,36131,34957,55651,3243,4219,13771,14754,159889,16698,7959
2013,12882,37691,11581,3802,42643,23080,21542,38554,34117,54360,3539,4070,13609,14566,157589,19466,8499
2014,14204,39518,11337,3719,39626,22749,21949,41525,32440,52273,3857,3733,13670,14214,153163,21801,8901
2015,15874,40521,10391,3348,33859,20614,24028,44800,29549,47161,4368,3033,14217,13339,145054,24319,9368
2016,17535,41631,8677,3056,28416,18997,27210,48469,26775,42613,4832,2018,15063,11693,141463,26470,9961
2017,19007,43535,7197,3089,27711,20683,31969,53136,23986,40045,5339,1416,15313,9095,144071,27644,10539
2018,20205,44517,5562,2731,30445,22138,34024,56726,20973,37620,5816,1023,15730,7052,144077,27187,10742
2019,20298,44720,3793,2096,32269,23290,34646,61048,21415,34599,6338,761,15328,6538,148316,24936,10149
2020,20554,45269,2822,1722,32382,23576,34965,64886,21294,32885,6851,639,15206,6333,148293,22832,9733
